bk,bm,bn,iteration,time_ms,tm,tn,type,m,n,k
16,64,64,2,5.35018,4,8,4D_kernel,8192,8192,256
16,64,64,3,5.34797,4,8,4D_kernel,8192,8192,256
16,64,64,4,5.35219,4,8,4D_kernel,8192,8192,256
16,64,64,5,5.35162,4,8,4D_kernel,8192,8192,256
16,64,64,6,5.3536,4,8,4D_kernel,8192,8192,256
16,64,64,7,5.35146,4,8,4D_kernel,8192,8192,256
16,64,64,8,5.35178,4,8,4D_kernel,8192,8192,256
16,64,64,9,5.3487,4,8,4D_kernel,8192,8192,256
16,64,64,0,0.665344,4,8,4D_cublas,8192,8192,256
16,64,64,1,0.670176,4,8,4D_cublas,8192,8192,256
16,64,64,2,0.65984,4,8,4D_cublas,8192,8192,256
16,64,64,3,0.658048,4,8,4D_cublas,8192,8192,256
16,64,64,4,0.657568,4,8,4D_cublas,8192,8192,256
16,64,64,5,0.66112,4,8,4D_cublas,8192,8192,256
16,64,64,6,0.668096,4,8,4D_cublas,8192,8192,256
16,64,64,7,0.663552,4,8,4D_cublas,8192,8192,256
16,64,64,8,0.667104,4,8,4D_cublas,8192,8192,256
16,64,64,9,0.66656,4,8,4D_cublas,8192,8192,256
16,64,64,0,2.52294,8,4,4D_kernel,8192,8192,256
16,64,64,1,2.51539,8,4,4D_kernel,8192,8192,256
16,64,64,2,2.49302,8,4,4D_kernel,8192,8192,256
16,64,64,3,2.49101,8,4,4D_kernel,8192,8192,256
16,64,64,4,2.47488,8,4,4D_kernel,8192,8192,256
16,64,64,5,2.47078,8,4,4D_kernel,8192,8192,256
16,64,64,6,2.46525,8,4,4D_kernel,8192,8192,256
16,64,64,7,2.46234,8,4,4D_kernel,8192,8192,256
16,64,64,8,2.4495,8,4,4D_kernel,8192,8192,256
16,64,64,9,2.45706,8,4,4D_kernel,8192,8192,256
16,64,64,0,0.668224,8,4,4D_cublas,8192,8192,256
16,64,64,1,0.668832,8,4,4D_cublas,8192,8192,256
16,64,64,2,0.661856,8,4,4D_cublas,8192,8192,256
16,64,64,3,0.655424,8,4,4D_cublas,8192,8192,256
16,64,64,4,0.658304,8,4,4D_cublas,8192,8192,256
16,64,64,5,0.65504,8,4,4D_cublas,8192,8192,256
16,64,64,6,0.654976,8,4,4D_cublas,8192,8192,256
16,64,64,7,0.659968,8,4,4D_cublas,8192,8192,256
16,64,64,8,0.648256,8,4,4D_cublas,8192,8192,256
16,64,64,9,0.655424,8,4,4D_cublas,8192,8192,256
16,64,64,0,3.40464,4,4,4D_kernel,8192,8192,256
16,64,64,1,3.42058,4,4,4D_kernel,8192,8192,256
16,64,64,2,3.39968,4,4,4D_kernel,8192,8192,256
16,64,64,3,3.40512,4,4,4D_kernel,8192,8192,256
16,64,64,4,3.40784,4,4,4D_kernel,8192,8192,256
16,64,64,5,3.39114,4,4,4D_kernel,8192,8192,256
16,64,64,6,3.40605,4,4,4D_kernel,8192,8192,256
16,64,64,7,3.40349,4,4,4D_kernel,8192,8192,256
16,64,64,8,3.40314,4,4,4D_kernel,8192,8192,256
16,64,64,9,3.38285,4,4,4D_kernel,8192,8192,256
16,64,64,0,0.657792,4,4,4D_cublas,8192,8192,256
16,64,64,1,0.650976,4,4,4D_cublas,8192,8192,256
16,64,64,2,0.643456,4,4,4D_cublas,8192,8192,256
16,64,64,3,0.658848,4,4,4D_cublas,8192,8192,256
16,64,64,4,0.64976,4,4,4D_cublas,8192,8192,256
16,64,64,5,0.644384,4,4,4D_cublas,8192,8192,256
16,64,64,6,0.643264,4,4,4D_cublas,8192,8192,256
16,64,64,7,0.644576,4,4,4D_cublas,8192,8192,256
16,64,64,8,0.643552,4,4,4D_cublas,8192,8192,256
16,64,64,9,0.639872,4,4,4D_cublas,8192,8192,256
16,64,64,0,3.9887,8,8,4D_kernel,8192,8192,256
16,64,64,1,4.00195,8,8,4D_kernel,8192,8192,256
16,64,64,2,3.944,8,8,4D_kernel,8192,8192,256
16,64,64,3,3.97296,8,8,4D_kernel,8192,8192,256
16,64,64,4,3.95552,8,8,4D_kernel,8192,8192,256
16,64,64,5,3.94691,8,8,4D_kernel,8192,8192,256
16,64,64,6,3.98314,8,8,4D_kernel,8192,8192,256
16,64,64,7,4.00419,8,8,4D_kernel,8192,8192,256
16,64,64,8,3.94624,8,8,4D_kernel,8192,8192,256
16,64,64,9,3.97574,8,8,4D_kernel,8192,8192,256
16,64,64,0,0.655872,8,8,4D_cublas,8192,8192,256
16,64,64,1,0.666464,8,8,4D_cublas,8192,8192,256
16,64,64,2,0.65744,8,8,4D_cublas,8192,8192,256
16,64,64,3,0.658336,8,8,4D_cublas,8192,8192,256
16,64,64,4,0.65104,8,8,4D_cublas,8192,8192,256
16,64,64,5,0.65392,8,8,4D_cublas,8192,8192,256
16,64,64,6,0.647072,8,8,4D_cublas,8192,8192,256
16,64,64,7,0.653856,8,8,4D_cublas,8192,8192,256
16,64,64,8,0.647712,8,8,4D_cublas,8192,8192,256
